Manufacturer,Model Name,Model Code,RAM (TotalMem),Form Factor,System on Chip,Screen Sizes,Screen Densities,ABIs,Android SDK Versions,OpenGL ES Versions
Hisense,lt971,LT971,1024MB,Phone,Qualcomm MSM8x10,720x1280,320,armeabi-v7a;armeabi,18,3.0
Hisense,E926,E926,,Phone,Qualcomm MSM8x25,480x800,240,armeabi-v7a;armeabi,15,2.0
Hisense,AGM X1,HS8952QC,4096MB,Phone,Qualcomm MSM8952,1080x1920;720x1280,480,arm64-v8a;armeabi-v7a;armeabi,22;25,3.1;3.2
Hisense,HS-T939,HS-T939,,Phone,Mediatek MT6572M,480x854,240,armeabi-v7a;armeabi,17,2.0
Hisense,HS-U958,U958,,Phone,Qualcomm MSM8x25Q,480x854,240,armeabi-v7a;armeabi,16,2.0
Hisense,G610M,G610M,2048MB,Phone,Qualcomm MSM8916,720x1280,320,armeabi-v7a;armeabi,19,3.0
Hisense,L675,HS6735MT,1024MB,Phone,Mediatek MT6735,720x1280,320,armeabi-v7a;armeabi,21;23,3.0
Hisense,EG950,EG950TW,,Phone,Qualcomm MSM8625,540x960,240,armeabi-v7a;armeabi,15,2.0
Hisense,HS-T950,t950,,Phone,Mediatek MT6517,480x854,240,armeabi-v7a;armeabi,15,2.0
Hisense,HS-EG966,EG966,512MB,Phone,Qualcomm MSM8625Q,480x854,240,armeabi-v7a;armeabi,16,2.0
Hisense,HS-X5T,X5T,,Phone,Qualcomm MSM8930,540x960,240,armeabi-v7a;armeabi,17,2.0
Hisense,C20S,C20S,3072MB,Phone,Qualcomm MSM8937,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,23,3.1
Hisense,E270BSA,E270BSA,886MB,Tablet,Rockchip RK3066,1024x600,160,armeabi-v7a;armeabi,16,2.0
Hisense,HS-E912,E912,,Phone,Qualcomm MSM7x25,480x800,240,armeabi-v7a;armeabi,10,2.0
Hisense,M3101BCD,m3101bcd,,Tablet,NVidia Tegra 3 T30,1280x800,213,armeabi-v7a;armeabi,17,2.0
Hisense,HS-EG980,eg980,,Phone,Mediatek MT6589T,720x1280,320,armeabi-v7a;armeabi,17,2.0
Hisense,HS-EG939,EG939,,Phone,Qualcomm MSM8x25,480x854,240,armeabi-v7a;armeabi,16,2.0
Hisense,HS-U966,u966ae,1024MB,Phone,Mediatek MT6582M,480x854,240,armeabi-v7a;armeabi,17,2.0
Hisense,HS-U966,u966,,Phone,Mediatek MT6582M,480x854,240,armeabi-v7a;armeabi,17,2.0
Hisense,E625T,E625T,,Phone,Qualcomm MSM8916,480x854,240,armeabi-v7a;armeabi,19,3.0
Hisense,HS-T960,t960,,Phone,Mediatek MT6517,480x800,240,armeabi-v7a;armeabi,15,2.0
Hisense,M470BSD,m470bsd,972MB,Tablet,NVidia Tegra 3 T30,800x1280,213,armeabi-v7a;armeabi,17,2.0
Hisense,EG981,EG981,,Phone,Qualcomm MSM8x10,720x1280,320,armeabi-v7a;armeabi,18,3.0
Hisense,HS-EG916,EG916,,Phone,Qualcomm MSM7627A,480x800,240,armeabi-v7a;armeabi,10,2.0
Hisense,VIDAA_TV,Hi3751v620,1834MB,TV,HiSilicon Hi3751V620,1920x1080,320,arm64-v8a;armeabi-v7a;armeabi,22,2.0
Hisense,VIDAA_TV,mt5890,879MB,,Mediatek MT5329,3840x2160,320,armeabi-v7a;armeabi,19,3.0
Hisense,VIDAA_TV,Hi3751v551,1998MB,TV,HiSilicon Hi3751V551,1920x1080,320,armeabi-v7a;armeabi,22,2.0
Hisense,VIDAA_TV,Hi3751,1498MB,,HiSilicon Hi3751,3840x2160,320,armeabi-v7a;armeabi,19,2.0
Hisense,VIDAA_TV,MSD6A828,997MB,TV,MStar MSD6A828,3840x2160,320,arm64-v8a;armeabi-v7a;armeabi,22,2.0
Hisense,U606,U606,512MB,Phone,Qualcomm MSM8x10,480x800,240,armeabi-v7a;armeabi,18,3.0
Hisense,Andromax-c,AD686G,512MB,Phone,Qualcomm MSM8x10,480x800,240,armeabi-v7a;armeabi,15;16,2.0
Hisense,HS-T959,t959,,Phone,Mediatek MT6589,480x854,240,armeabi-v7a;armeabi,17,2.0
Hisense,G1,G1,977MB,Tablet,NVidia Tegra 3 T30,600x1024,160,armeabi-v7a;armeabi,16,2.0
Hisense,HS-U8,U8,,Phone,Qualcomm MSM7227A,480x800,240,armeabi-v7a;armeabi,10,2.0
Hisense,LED55XT780G3D,hisenseLED55XT780G3D,,Tablet,MStar MSD6A801,1920x1080,240,armeabi-v7a;armeabi,15,2.0
Hisense,MegaFon SIM+,SIMPlus,,Phone,Qualcomm MSM7227A,480x800,240,armeabi-v7a;armeabi,10,2.0
Hisense,CMB501,u970_carrefour,975MB,Phone,Mediatek MT6589M,540x960,240,armeabi-v7a;armeabi,17,2.0
Hisense,I300T,I300T,,Phone,Qualcomm MSM8x10,720x1280,320,armeabi-v7a;armeabi,18,3.0
Hisense,I639T,I639T,,Phone,Qualcomm MSM8916,720x1280,320,armeabi-v7a;armeabi,19,3.0
Hisense,I639T,I639TA,1855MB,Phone,Qualcomm MSM8916,720x1280,320,armeabi-v7a;armeabi,19,3.0
Hisense,I639T,I639TA1,1855MB,Phone,Qualcomm MSM8916,720x1280,320,armeabi-v7a;armeabi,19,3.0
Hisense,HS-U980,u980be_1,1024MB,Phone,Mediatek MT6589T,720x1280,320,armeabi-v7a;armeabi,17,2.0
Hisense,HS-U980,u980ce_5,,Phone,Mediatek MT6589T,720x1280,320,armeabi-v7a;armeabi,17,2.0
Hisense,HS-U980,u980ce_1,1024MB,Phone,Mediatek MT6589T,720x1280,320,armeabi-v7a;armeabi,17,2.0
Hisense,HS-U980,u980ce_4,1024MB,Phone,Mediatek MT6589T,720x1280,320,armeabi-v7a;armeabi,17,2.0
Hisense,HS-U980,u980be,,Phone,Mediatek MT6589T,720x1280,320,armeabi-v7a;armeabi,17,2.0
Hisense,HS-U980,u980b,1024MB,Phone,Mediatek MT6589,720x1280,320,armeabi-v7a;armeabi,17,2.0
Hisense,HS-U980,u980ce_3,,Phone,Mediatek MT6589T,720x1280,320,armeabi-v7a;armeabi,17,2.0
Hisense,HS-U980,u980be_2,1024MB,Phone,Mediatek MT6589T,720x1280,320,armeabi-v7a;armeabi,17,2.0
Hisense,HS-U980,u980,,Phone,Mediatek MT6589T,720x1280,320,armeabi-v7a;armeabi,17,2.0
Hisense,Vision 2.5,vision2_5,904MB,,MStar MSD1369,1920x1080,320,armeabi-v7a;armeabi,17,2.0
Hisense,C-4,C_4,,Phone,Qualcomm MSM8x25,480x800,240,armeabi-v7a;armeabi,15,2.0
Hisense,CMB510,L696,1024MB,Phone,Qualcomm MSM8916,720x1280,320,armeabi-v7a;armeabi,19,3.0
Hisense,HS-U936,U936,,Phone,Qualcomm MSM8212,480x854,240,armeabi-v7a;armeabi,18,3.0
Hisense,HS-U950,U950,,Phone,Qualcomm MSM8225,540x960,240,armeabi-v7a;armeabi,15,2.0
Hisense,HS-U950,U950_ae,,Phone,Qualcomm MSM8x25,540x960,240,armeabi-v7a;armeabi,15,2.0
Hisense,HS-U950,U950_6,,Phone,Qualcomm MSM8x25,540x960,240,armeabi-v7a;armeabi,15,2.0
Hisense,HS-U950,U950_5,,Phone,Qualcomm MSM8x25,540x960,240,armeabi-v7a;armeabi,15,2.0
Hisense,EG68AE,EG668AE,1024MB,Phone,Qualcomm MSM8x10,540x960,240,armeabi-v7a;armeabi,18,3.0
Hisense,F23,HS8917QC,1024-2048MB,Phone,Qualcomm MSM8917,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,23;25,3.0
Hisense,F23,HS6737MT,2048MB,Phone,Mediatek MT6737,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,24,3.1
Hisense,HS-T928,t928,,Phone,Mediatek MT6572,480x800,240,armeabi-v7a;armeabi,17,2.0
Hisense,HS-EG909,EG909,,Phone,Qualcomm MSM8625,480x800,240,armeabi-v7a;armeabi,15,2.0
Hisense,Sero7 LE,rk3026,512MB,Tablet,Rockchip RK3026,1024x600,160,armeabi-v7a;armeabi,19,2.0
Hisense,PX530,PX8,,,MStar MSO9280,1920x1080,320,armeabi-v7a;armeabi,19,2.0
Hisense,U688,U688,1024MB,Phone,Qualcomm MSM8x10,720x1280,240,armeabi-v7a;armeabi,18,3.0
Hisense,E600MH02,E600MH02,512MB,Phone,Marvell PXA1920,480x854,240,armeabi-v7a;armeabi,19,2.0
Hisense,U988,U988,1024MB,Phone,Mediatek MT6589T,720x1280,320,armeabi-v7a;armeabi,19,3.0
Hisense,EG970,EG970TW,1024MB,Phone,Qualcomm MSM8x25Q,540x960,240,armeabi-v7a;armeabi,16,2.0
Hisense,U988E-2,U988E_2,1024MB,Phone,Qualcomm MSM8916,720x1280,320,armeabi-v7a;armeabi,19,3.0
Hisense,HS-U860,U860,,Phone,Qualcomm MSM7225A,320x480,160,armeabi-v7a;armeabi,10,2.0
Hisense,E601M,E601M,,Phone,Mediatek MT6582M,480x800,240,armeabi-v7a;armeabi,19,2.0
Hisense,HS-U961,u961,468MB,Phone,Mediatek MT6752M,480x854,240,armeabi-v7a;armeabi,19,2.0
Hisense,HS-U961,u961e_1,468MB,Phone,Mediatek MT6572M,480x854,240,armeabi-v7a;armeabi,19,2.0
Hisense,M470BSA,m470,972MB,Tablet,NVidia Tegra 3 T30,800x1280,213,armeabi-v7a;armeabi,17,2.0
Hisense,Hisense  F17  Pro,HS6739MT,1844MB,Phone,Mediatek MT6739CH,720x1440,320,armeabi-v7a;armeabi,25,3.2
Hisense,HS-T909,t909,,Phone,Mediatek MT6517,480x800,240,armeabi-v7a;armeabi,15,2.0
Hisense,LED42G200,hisenseLED42G200,,Tablet,MStar MSD6A801,1920x1080,240,armeabi-v7a;armeabi,15,2.0
Hisense,W2,EG606_YE,,Phone,Qualcomm MSM8625,480x800,240,armeabi-v7a;armeabi,16,2.0
Hisense,G2-3GP,G2-3GP,974MB,Tablet,NVidia Tegra 3,800x1280,213,armeabi-v7a;armeabi,16,2.0
Hisense,I56D2G,HS8929QC,2048MB,Phone,Qualcomm MSM8929,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,21;22,3.0
Hisense,HS-T958,t958,,Phone,Mediatek MT6589,480x854,240,armeabi-v7a;armeabi,16,2.0
Hisense,u972,HS7731SP,453-953MB,Phone,Spreadtrum SC7731,480x800;720x1280,240;320,armeabi-v7a;armeabi,19;22,2.0
Hisense,AGM  X2,HS8976QC,6144MB,Phone,Qualcomm MSM8976,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,25,3.2
Hisense,U963,HS7331CSC,1024MB,Phone,Spreadtrum SC7731C,480x854,240,armeabi-v7a;armeabi,23,2.0
Hisense,U606AE,U606AE,512MB,Phone,Qualcomm MSM8x10,480x800,240,armeabi-v7a;armeabi,18,3.0
Hisense,TV,hisense_gx1200v,,,Marvell BG2,1920x1080,320,,13,2.0
Hisense,LED46K660X3D,hisense6a801,,Tablet,MStar MSD6A801,1920x1080,240,armeabi-v7a;armeabi,15,2.0
Hisense,E622M,E622M,1024MB,Phone,Qualcomm MSM8916,720x1280,320,armeabi-v7a;armeabi,19,3.0
Hisense,L678,HS8916QC,1024-2048MB,Phone,Qualcomm MSM8916,540x960,320,armeabi-v7a;armeabi,19;21;22,3.0
Hisense,E620M,E602M,,Phone,Mediatek MT6582,480x854,240,armeabi-v7a;armeabi,19,2.0
Hisense,laoshan,laoshan,1343MB,TV,Mediatek MT5597,1920x1080,320,armeabi-v7a;armeabi,26,2.0
Hisense,HS-E956Q,E956Q,,Phone,Qualcomm MSM8x25Q,480x854,240,armeabi-v7a;armeabi,16,2.0
Hisense,M370BW,m370,,Phone,NVidia Tegra 3 T30,1024x552,160,armeabi-v7a;armeabi,16,2.0
Hisense,HS-U939,u939e_1,470MB,Phone,Mediatek MT6572,480x854,240,armeabi-v7a;armeabi,17,2.0
Hisense,HS-U939,u939e_4,,Phone,Mediatek MT6572,480x854,240,armeabi-v7a;armeabi,17,2.0
Hisense,HS-U939,u939e_5,470MB,Phone,Mediatek MT6572,480x854,240,armeabi-v7a;armeabi,17,2.0
Hisense,HS-U939,u939,,Phone,Mediatek MT6572,480x854,240,armeabi-v7a;armeabi,17,2.0
Hisense,HS-U939,u939e_3,470MB,Phone,Mediatek MT6572,480x854,240,armeabi-v7a;armeabi,17,2.0
Hisense,XOLO,us9230e1,975MB,Phone,NVidia Tegra 3 AP33,720x1280,320,armeabi-v7a;armeabi,16,2.0
Hisense,HS-EG958,EG958,,Phone,Qualcomm MSM8x25Q,480x854,240,armeabi-v7a;armeabi,16,2.0
Hisense,New Andromax-i,AD685G,512MB,Phone,Qualcomm MSM8x25,480x800,240,armeabi-v7a;armeabi,16,2.0
Hisense,HS-T967,HS-T967,397MB,Phone,Spreadtrum SC8830,480x854,240,armeabi-v7a;armeabi,16,2.0
Hisense,HS-EG870,EG870,,Phone,Qualcomm MSM7625A,320x480,160,armeabi-v7a;armeabi,10,2.0
Hisense,WM8,wm8980s,877MB,Tablet,Wondermedia WM8980s,1024x720,160,armeabi-v7a;armeabi,17,2.0
Hisense,l691,msm8226,1024MB,Phone,Qualcomm MSM8926,720x1280,320,armeabi-v7a;armeabi,19,3.0
Hisense,L691,l691e_2,1024MB,Phone,Qualcomm MSM8926,720x1280,320,armeabi-v7a;armeabi,18,3.0
Hisense,L691,l691,1024MB,Phone,Qualcomm MSM8926,720x1280,320,armeabi-v7a;armeabi,18,3.0
Hisense,U601S,HS7731CSP,925-963MB,Phone,Spreadtrum SC7731C,480x800,240,armeabi-v7a;armeabi,23;24,2.0
Hisense,HS-T968,t968,975MB,Phone,Mediatek MT6589,540x960,240,armeabi-v7a;armeabi,17,2.0
Hisense,HS-U960Q,U960Q,,Phone,Qualcomm MSM8x25Q,480x800,240,armeabi-v7a;armeabi,16,2.0
Hisense,HS-T968S,t968s,,Phone,Mediatek MT6572,480x854,240,armeabi-v7a;armeabi,17,2.0
Hisense,STARTRAIL 6 4G,L681,1024MB,Phone,Qualcomm MSM8916,720x1280,320,armeabi-v7a;armeabi,19,3.0
Hisense,HS-U929,u929de_3,466MB,Phone,Mediatek MT6572M,480x800,213,armeabi-v7a;armeabi,19,2.0
Hisense,HS-U929,u929de,466MB,Phone,Mediatek MT6572M,480x800,213,armeabi-v7a;armeabi,19,2.0
Hisense,Hisense M36,HS8909QC,1024-2048MB,Phone,Qualcomm MSM8909,480x854;720x1280,240;320,armeabi-v7a;armeabi,19;22;23;25,3.0
Hisense,HS-E620M,E620M,1024MB,Phone,Marvell PXA1088LTE,480x854,240,armeabi-v7a;armeabi,18,2.0
Hisense,M701,M701,,Phone,Mediatek MT6589,720x1080,320,armeabi-v7a;armeabi,17,2.0
Hisense,HS-T980,t980,,Phone,Mediatek MT6589,720x1280,320,armeabi-v7a;armeabi,17,2.0
Hisense,HS-U909,U909B_6,,Phone,Qualcomm MSM8x25,800x480,240,armeabi-v7a;armeabi,15,2.0
Hisense,HS-U909,U909,,Phone,Qualcomm MSM8x25,480x800,240,armeabi-v7a;armeabi,15,2.0
Hisense,M1101AT,TP9102,,Tablet, ,1280x752,160,armeabi-v7a;armeabi,13,2.0
Hisense,HS-E930,E930,,Phone,Qualcomm MSM7x25,480x800,240,armeabi-v7a;armeabi,10,2.0
Hisense,55H6SG,Vision,578MB,,Marvell BG2CT,1920x1080,320,armeabi-v7a;armeabi,17,2.0
Hisense,HS-T966,HS-T966,,Phone,Spreadtrum SC8830,480x854,240,armeabi-v7a;armeabi,16,2.0
Hisense,HS-E956,E956,,Phone,Qualcomm MSM8625,480x854,240,armeabi-v7a;armeabi,15,2.0
Hisense,HS-EG971,EG971,1024MB,Phone,Qualcomm MSM8x10,720x1280,320,armeabi-v7a;armeabi,18,3.0
Hisense,HS-EG950,EG950,,Phone,Qualcomm MSM8625,480x854,240,armeabi-v7a;armeabi,15,2.0
Hisense,W270BD,W270BD,,Phone,Wondermedia WM8980s,1024x552,160,armeabi-v7a;armeabi,16,2.0
Hisense,EG978,EG978,1024MB,Phone,Qualcomm MSM8612,540x960,240,armeabi-v7a;armeabi,18,3.0
Hisense,D1-M,D1_M,2048MB,Phone,Qualcomm MSM8916,720x1280,320,armeabi-v7a;armeabi,19,3.0
Hisense,HS-X8C,x8c,,Phone,Qualcomm MSM8926,480x854,240,armeabi-v7a;armeabi,18,3.0
Hisense,EG98,EG98TW,1024MB,Phone,Qualcomm MSM8x25Q,540x960,240,armeabi-v7a;armeabi,16,2.0
Hisense,EG98,EG98,1024MB,Phone,Qualcomm MSM8x25Q,540x960,240,armeabi-v7a;armeabi,16,2.0
Hisense,F5070,mt8389,,Tablet,Mediatek MT8389,1280x800,213,armeabi-v7a;armeabi,17,2.0
Hisense,Hisense T965,HS6580MT,944-968MB,Phone,Mediatek MT6580,480x854,240;320,armeabi-v7a;armeabi,22;23;24;27,2.0
Hisense,SoundTab MA-317,rk3028a,1024MB,Tablet,Rockchip RK3028,1024x600,160,armeabi-v7a;armeabi,19,2.0
Hisense,HS-T926,t926,,Phone,Mediatek MT6572,480x800,240,armeabi-v7a;armeabi,17,2.0
Hisense,PX2800,hisensepx2800,,Tablet,MStar MSD6A801,1920x1080,240,armeabi-v7a;armeabi,15,2.0
Hisense,CMB405,L690AE,1024MB,Phone,Qualcomm MSM8916,540x960,240,armeabi-v7a;armeabi,19,3.0
Hisense,vision2_1 ,vision2_1,700MB,,MStar MSD6369,1920x1080,320,armeabi-v7a;armeabi,17,2.0
Hisense,HS-EG970,EG970,,Phone,Qualcomm MSM8x25Q,540x960,240,armeabi-v7a;armeabi,16,2.0
Hisense,E2070,mt8312,966MB,Tablet,Mediatek MT8312,1024x600,160,armeabi-v7a;armeabi,17,2.0
Hisense,U988E-1,U988E_1,1024MB,Phone,Qualcomm MSM8x10,720x1280,320,armeabi-v7a;armeabi,19,3.0
Hisense,EG606,EG606_TW,512MB,Phone,Qualcomm MSM8625,480x800,240,armeabi-v7a;armeabi,16,2.0
Hisense,STARSHINE 4,HS6572MT,466MB,Phone,Mediatek MT6572M,480x800,240,armeabi-v7a;armeabi,19,2.0
Hisense,M30M,HS9830SP,997MB,Phone,Spreadtrum SC9830A,480x854,240;320,armeabi-v7a;armeabi,19;22,2.0
Hisense,HS-T978,t978,,Phone,Mediatek MT6582M,540x960,240,armeabi-v7a;armeabi,17,2.0
Hisense,U966,u966e_1,512MB,Phone,Mediatek MT6582M,480x854,240,armeabi-v7a;armeabi,17,2.0
Hisense,F32,HS8937QC,2048-3072MB,Phone,Qualcomm MSM8937,1080x1920;1280x720;720x1280,320;480,arm64-v8a;armeabi-v7a;armeabi,23;24;25,3.1;3.2
Hisense,A2T,HS8953QC,4096MB,Phone,Qualcomm MSM8953,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,25,3.2
Hisense,HS-T818,T818,,Phone,Spreadtrum SC8810,320x480,160,armeabi-v7a;armeabi,10,2.0
Hisense,E100TAE,E100TAE,,Phone,Qualcomm MSM8x10,480x800,240,armeabi-v7a;armeabi,19,3.0
Hisense,HS-U912,U912C,,Phone,Qualcomm MSM8225,480x800,240,armeabi-v7a;armeabi,15,2.0
Hisense,HS-U912,U912B,,Phone,Qualcomm MSM8225,480x800,240,armeabi-v7a;armeabi,15,2.0
Hisense,HS-U912,U912A_1,,Phone,Qualcomm MSM8x25,480x800,240,armeabi-v7a;armeabi,15,2.0
Hisense,HS-U912,U912,,Phone,Qualcomm MSM7227A,480x800,240,armeabi-v7a;armeabi,10,2.0
Hisense,WA960,U960Q_1,1024MB,Phone,Qualcomm MSM8x25Q,480x800,240,armeabi-v7a;armeabi,16,2.0
Hisense,E860,E860,,Phone,Qualcomm MSM7627A,320x480,160,armeabi-v7a;armeabi,15,2.0
Hisense,EG936D,EG936D,512MB,Phone,Qualcomm MSM8610,480x854,240,armeabi-v7a;armeabi,18,3.0
Hisense,HS-U9,U9,,Phone,Qualcomm MSM8x30,720x1280,320,armeabi-v7a;armeabi,17,2.0
Hisense TV,Vision2_2,vision2_2,,Tablet,MStar MSD6369IV-U7,3840x2160,320,armeabi-v7a;armeabi,17,2.0
Hiya,5-0,5_0,953MB,Phone,Mediatek MT6580M,480x960,240,armeabi-v7a;armeabi,27,2.0
Hiya,5.5,HIYA5_5,1966MB,Phone,Mediatek MT6580,720x1498,320,armeabi-v7a;armeabi,27,2.0
HKC,A79 Tablet,EM62,,Tablet,Amlogic AML8726-M6,800x480,120,armeabi-v7a;armeabi,16,2.0
HKT,eye3,UY3-PCW,,Tablet,Mediatek MT8125,1280x800,213,armeabi-v7a;armeabi,17,2.0
Hoffmann,X Max,X-Max,2869MB,Phone,Mediatek MT6737,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,24,3.1
HOMTOM,S16,S16,2048MB,Phone,Mediatek MT6580,1280x640,320,armeabi-v7a;armeabi,24,2.0
HOMTOM,Z8,Z8,3894MB,Phone,Mediatek MT6750,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,24,3.2
HOMTOM,HT70,HT70,3827MB,Phone,Mediatek MT6750T,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,24,3.2
HOMTOM,S99,S99,3762MB,Phone,Mediatek MT6750,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,26,3.2
HOMTOM,S9 Plus,S9_Plus,3828MB,Phone,Mediatek MT6750T,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,24,3.2
HOMTOM,S7,S7,1862MB,Phone,Mediatek MT6737,640x1280,320,arm64-v8a;armeabi-v7a;armeabi,24,3.1
"Hon Hai Precision Industry Co., Ltd.",PocketBook A10,EP10_wifi,,Tablet,TI OMAP3621,1024x768,160,armeabi-v7a;armeabi,10,2.0
"Hon Hai Precision Industry Co., Ltd.",Germany,S9714,973MB,Tablet,NVidia Tegra 3 T30,1280x752,160,armeabi-v7a;armeabi,15;16,2.0
"Hon Hai Precision Industry Co., Ltd.",PocketBook A7,EP5A_wifi,,Tablet,TI OMAP3621,600x1024,160,armeabi-v7a;armeabi,10,2.0
"Hon Hai Precision Industry Co., Ltd.",nabi_XD,XD,970MB,Tablet,NVidia Tegra 3 T30,1366x768,160,armeabi-v7a;armeabi,16,2.0
Honda,A-DA,e1853,,Phone,NVidia Tegra 3 T30,800x480,160,armeabi-v7a;armeabi,15,2.0
Honda,A-DA,vcm30t30,,Phone,NVidia Tegra 3 T30,800x480,160,armeabi-v7a;armeabi,15,2.0
Honda,Accord,koelsch,911MB,Phone,Renesas R-Car M2,800x480,160,armeabi-v7a;armeabi,17,2.0
Honda,Unit Assy AVN,h16,,Phone,Qualcomm CSRS3682,800x480,160,armeabi-v7a;armeabi,10,2.0
Honeywell,70eLGN,dblack_go,,Phone,TI OMAP3715,480x800,240,armeabi-v7a;armeabi,15,2.0
Honeywell,70eLGN,dblack_gn,,Phone,TI OMAP3715,480x800,240,armeabi-v7a;armeabi,15,2.0
Honeywell,70eLWN,dblack_wn,,Phone,TI OMAP3730,480x800,240,armeabi-v7a;armeabi,15,2.0
Honeywell,70eLW0,dblack_wo,,Phone,TI OMAP3715,480x800,240,armeabi-v7a;armeabi,15,2.0
Honeywell,EDA50K,eda50k-1,1911MB,Phone,Qualcomm MSM8916,480x800,240,armeabi-v7a;armeabi,25,3.0
Honeywell,EDA50K,eda50k-0,1911MB,Phone,Qualcomm MSM8916,480x800,240,armeabi-v7a;armeabi,25,3.0
Honeywell,CT60-L0-C,CT60-L0-C,2732MB,Phone,Qualcomm SDM660,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,25,3.2
Honeywell,EdA50,eda50-211,1911MB,Phone,Qualcomm MSM8916,720x1280,320,armeabi-v7a;armeabi,25,3.0
Honeywell,EDA50,eda50-111,1883-1911MB,Phone,Qualcomm MSM8916,720x1280,320,armeabi-v7a;armeabi,19;25,3.0
Honeywell,EDA50,eda50-011,1911MB,Phone,Qualcomm MSM8916,720x1280,320,armeabi-v7a;armeabi,25,3.0
Honeywell,CK75,CK75,1661MB,Phone,TI OMAP4470,480x640,213,armeabi-v7a;armeabi,23,2.0
Honeywell,CT60,CT60-L0N-ASC,2738MB,Phone,Qualcomm SDM660,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,25,3.2
Honeywell,CT50,CT50L0N-CS12S,1864MB,Phone,Qualcomm APQ8074,720x1280,320,armeabi-v7a;armeabi,19,3.0
Honeywell,CT50,CT50LFN-CS16S,1872MB,Phone,Qualcomm MSM8974AB,720x1280,320,armeabi-v7a;armeabi,23,3.0
Honeywell,CT50,CT50L0N-CS16S,1872MB,Phone,Qualcomm APQ8074,720x1280,320,armeabi-v7a;armeabi,23,3.0
Honeywell,CT50,CT50L0N-CS15S,1872MB,Phone,Qualcomm APQ8074,720x1280,320,armeabi-v7a;armeabi,23,3.0
Honeywell,CT50,CT50LUN-CS15S,1872MB,Phone,Qualcomm APQ8074,720x1280,320,armeabi-v7a;armeabi,23,3.0
Honeywell,CT50,CT50LUN-CS12S,1864MB,Phone,Qualcomm MSM8974,720x1280,320,armeabi-v7a;armeabi,19,3.0
Honeywell,CT50,CT50LUN-CS16S,1872MB,Phone,Qualcomm MSM8974AB,720x1280,320,armeabi-v7a;armeabi,23,3.0
Honeywell,Dolphin CT50,CT50LUN-CS13S,,Phone,Qualcomm MSM8974,720x1280,320,armeabi-v7a;armeabi,19,3.0
Honeywell,Dolphin CT50,CT50LFN-CS13S,,Phone,Qualcomm MSM8974,720x1280,320,armeabi-v7a;armeabi,19,3.0
Honeywell,Dolphin CT50,CT50L0N-CS13S,1864MB,Phone,Qualcomm APQ8074,720x1280,320,armeabi-v7a;armeabi,19,3.0
Honeywell,EDA70,eda70-3,1912MB,Phone,Qualcomm MSM8916,1280x720,320,armeabi-v7a;armeabi,25,3.0
Honeywell,EDA70,eda70-0,1912MB,Phone,Qualcomm MSM8916,720x1280,320,armeabi-v7a;armeabi,25,3.0
Honeywell,CN80,CN80-L1-C,2732MB,Phone,Qualcomm SDM660,480x854,240,arm64-v8a;armeabi-v7a;armeabi,25,3.2
Honeywell,CN80,CN80-L0-C,2732MB,Phone,Qualcomm SDM660,480x854,240,arm64-v8a;armeabi-v7a;armeabi,25,3.2
Honeywell,CN80,CN80-L0-N,2732MB,Phone,Qualcomm SDM660,480x854,240,arm64-v8a;armeabi-v7a;armeabi,25,3.2
Honeywell,CN80,CN80-L1-N,2732MB,Phone,Qualcomm SDM660,480x854,240,arm64-v8a;armeabi-v7a;armeabi,25,3.2
Honeywell,CN51,CN51_NN0,662MB,Phone,TI OMAP4470,480x800,240,armeabi-v7a;armeabi,17;23,2.0
Honeywell,CN51,CN51_QCF,662MB,Phone,TI OMAP4470,480x800,240,armeabi-v7a;armeabi,17;23,2.0
Honeywell,CN51,CN51_QN0,662MB,Phone,TI OMAP4470,480x800,240,armeabi-v7a;armeabi,17;23,2.0
Honeywell,CN51,CN51_NC0,662MB,Phone,TI OMAP4470,480x800,240,armeabi-v7a;armeabi,17;23,2.0
Honeywell,CN51,CN51_QC0,662-664MB,Phone,TI OMAP4470,480x800,240,armeabi-v7a;armeabi,17;23,2.0
Honeywell,CN51,CN51_QCU,662MB,Phone,TI OMAP4470,480x800,240,armeabi-v7a;armeabi,17;23,2.0
Honeywell,CN51,CN51_NCU,662MB,Phone,TI OMAP4470,480x800,240,armeabi-v7a;armeabi,17;23,2.0
Honeywell,CN51,CN51_NCF,662-664MB,Phone,TI OMAP4470,480x800,240,armeabi-v7a;armeabi,17;23,2.0
Honeywell,CT40,CT40-L1-C,1733MB,Phone,Qualcomm SDM660,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,25,3.2
Honeywell,CT40,CT40-L0-C,3735MB,Phone,Qualcomm SDM660,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,25,3.2
